"","X","EDUC","LWKLYWGE","QOB","YOB","first_quarter"
"1",22,10,4.42478466033936,3,1920,0
"2",30,16,6.0692195892334,4,1920,0
"3",36,12,5.28345251083374,3,1920,0
"4",37,12,5.84455966949463,2,1920,0
"5",61,8,5.17863893508911,2,1920,0
"6",64,16,5.88553190231323,2,1920,0
"7",68,12,5.18962907791138,3,1920,0
"8",72,10,4.7759051322937,3,1920,0
"9",98,12,5.54467964172363,1,1920,1
"10",105,12,5.59693193435669,3,1920,0
"11",123,12,5.15629053115845,2,1920,0
"12",133,12,5.68727445602417,1,1920,1
"13",134,12,5.50561046600342,2,1920,0
"14",146,12,5.06153964996338,1,1920,1
"15",154,11,4.97056198120117,2,1920,0
"16",173,11,4.7759051322937,3,1920,0
"17",184,12,5.02355813980103,2,1920,0
"18",187,10,4.92888641357422,1,1920,1
"19",190,9,5.07388639450073,1,1920,1
"20",240,16,4.43720674514771,3,1920,0
"21",241,12,5.3224835395813,3,1920,0
"22",244,16,5.97413396835327,1,1920,1
"23",246,12,5.28345251083374,2,1920,0
"24",254,12,3.11525678634644,2,1920,0
"25",260,12,4.92888641357422,4,1920,0
"26",268,15,5.52142190933228,1,1920,1
"27",269,16,6.78369140625,2,1920,0
"28",281,12,5.44821548461914,3,1920,0
"29",283,10,4.59521865844727,1,1920,1
"30",303,14,5.86904764175415,4,1920,0
"31",343,12,5.21125268936157,3,1920,0
"32",352,7,6.0692195892334,2,1920,0
"33",362,12,5.17863893508911,1,1920,1
"34",363,7,5.23241853713989,3,1920,0
"35",386,10,5.17863893508911,3,1920,0
"36",415,8,5.17863893508911,1,1920,1
"37",416,15,5.33200788497925,1,1920,1
"38",443,12,5.54467964172363,4,1920,0
"39",494,6,4.59521865844727,3,1920,0
"40",513,12,5.68727445602417,4,1920,0
"41",534,10,5.28345251083374,1,1920,1
"42",535,11,4.7759051322937,2,1920,0
"43",569,10,5.99763298034668,4,1920,0
"44",579,16,5.82371282577515,2,1920,0
"45",582,16,5.97413396835327,4,1920,0
"46",596,10,5.84666109085083,2,1920,0
"47",598,14,5.86904764175415,2,1920,0
"48",601,8,5.01053428649902,4,1920,0
"49",614,18,6.15604400634766,3,1920,0
"50",617,8,5.46495294570923,3,1920,0
"51",618,17,5.58227920532227,2,1920,0
"52",632,7,4.51268911361694,4,1920,0
"53",650,11,5.17863893508911,1,1920,1
"54",651,13,5.89637231826782,3,1920,0
"55",652,12,5.68727445602417,1,1920,1
"56",653,16,6.14769268035889,3,1920,0
"57",664,6,5.12180233001709,2,1920,0
"58",675,6,4.80984115600586,1,1920,1
"59",681,12,5.3782901763916,2,1920,0
"60",684,7,4.94800758361816,2,1920,0
"61",689,9,3.98470139503479,1,1920,1
"62",694,12,5.03637933731079,4,1920,0
"63",696,12,5.06153964996338,3,1920,0
"64",706,10,5.17863893508911,3,1920,0
"65",709,11,5.46495294570923,2,1920,0
"66",710,12,5.7516074180603,4,1920,0
"67",713,6,4.7759051322937,3,1920,0
"68",715,10,3.74378728866577,2,1920,0
"69",718,5,4.3238730430603,2,1920,0
"70",739,8,5.17863893508911,1,1920,1
"71",767,17,5.68727445602417,1,1920,1
"72",771,12,4.40180110931396,3,1920,0
"73",805,10,5.37831497192383,2,1920,0
"74",814,18,6.19678354263306,3,1920,0
"75",817,10,4.68963766098022,4,1920,0
"76",819,12,6.44943237304688,2,1920,0
"77",822,12,4.97914838790894,2,1920,0
"78",837,6,4.3745231628418,1,1920,1
"79",838,14,5.61851644515991,1,1920,1
"80",853,18,5.34144258499146,3,1920,0
"81",872,12,4.95686197280884,2,1920,0
"82",873,12,5.12180233001709,2,1920,0
"83",883,6,4.92888641357422,3,1920,0
"84",892,15,5.27345180511475,1,1920,1
"85",896,11,5.06153964996338,1,1920,1
"86",905,7,5.06153964996338,2,1920,0
"87",909,9,5.14492607116699,3,1920,0
"88",978,5,3.87181353569031,3,1920,0
"89",987,11,4.68963766098022,2,1920,0
"90",1014,11,4.57521629333496,1,1920,1
"91",1015,11,5.07388639450073,2,1920,0
"92",1026,14,5.18962907791138,1,1920,1
"93",1028,14,4.99741077423096,1,1920,1
"94",1040,11,5.37831497192383,4,1920,0
"95",1050,5,3.13549423217773,1,1920,1
"96",1062,9,4.92888641357422,3,1920,0
"97",1066,10,5.29335403442383,1,1920,1
"98",1068,11,5.09930038452148,2,1920,0
"99",1080,14,4.49094676971436,1,1920,1
"100",1107,11,5.26335048675537,4,1920,0
"101",1110,12,4.63406229019165,1,1920,1
"102",1114,6,4.98407649993896,1,1920,1
"103",1125,8,5.14492607116699,3,1920,0
"104",1141,4,4.30713176727295,4,1920,0
"105",1143,16,6.42748737335205,4,1920,0
"106",1146,18,3.84917998313904,1,1920,1
"107",1151,10,4.92888641357422,4,1920,0
"108",1155,8,4.59521865844727,3,1920,0
"109",1166,11,5.55231332778931,3,1920,0
"110",1184,4,5.06153964996338,1,1920,1
"111",1190,6,3.02424359321594,2,1920,0
"112",1203,12,5.24514675140381,4,1920,0
"113",1223,5,5.33770370483398,4,1920,0
"114",1238,8,4.92888641357422,1,1920,1
"115",1246,11,6.23592805862427,3,1920,0
"116",1255,12,5.28345251083374,2,1920,0
"117",1264,6,4.7759051322937,3,1920,0
"118",1275,16,6.53269100189209,2,1920,0
"119",1289,8,4.07089138031006,1,1920,1
"120",1294,10,5.242835521698,1,1920,1
"121",1295,12,5.28345251083374,4,1920,0
"122",1308,7,4.72504234313965,2,1920,0
"123",1332,12,5.81205034255981,2,1920,0
"124",1333,8,5.06153964996338,4,1920,0
"125",1344,8,4.70749664306641,2,1920,0
"126",1346,12,5.65348625183105,1,1920,1
"127",1351,8,5.17863893508911,3,1920,0
"128",1357,16,5.91770696640015,2,1920,0
"129",1378,12,5.28345251083374,3,1920,0
"130",1379,9,4.92888641357422,1,1920,1
"131",1403,16,5.26335048675537,1,1920,1
"132",1410,15,6.66604566574097,3,1920,0
"133",1414,12,5.28345251083374,4,1920,0
"134",1415,15,5.7762246131897,4,1920,0
"135",1418,12,5.37831497192383,1,1920,1
"136",1423,11,5.43974018096924,3,1920,0
"137",1425,10,5.23241853713989,1,1920,1
"138",1462,12,5.15629053115845,3,1920,0
"139",1465,12,4.98407649993896,1,1920,1
"140",1470,6,4.42478466033936,1,1920,1
"141",1474,14,6.02439546585083,4,1920,0
"142",1479,14,5.46495294570923,4,1920,0
"143",1483,11,3.19867300987244,4,1920,0
"144",1492,12,5.46495294570923,4,1920,0
"145",1502,12,5.93350410461426,2,1920,0
"146",1503,10,5.58227920532227,1,1920,1
"147",1511,12,5.36004877090454,3,1920,0
"148",1534,16,6.53269100189209,2,1920,0
"149",1558,18,6.27359819412231,4,1920,0
"150",1565,9,5.17863893508911,1,1920,1
"151",1570,16,5.91770696640015,2,1920,0
"152",1573,6,4.72504234313965,4,1920,0
"153",1591,17,5.97413396835327,1,1920,1
"154",1599,11,4.74228572845459,2,1920,0
"155",1603,10,4.15443086624146,1,1920,1
"156",1620,16,6.41151237487793,1,1920,1
"157",1652,12,5.03637933731079,4,1920,0
"158",1653,7,5.08608245849609,2,1920,0
"159",1659,10,4.7759051322937,2,1920,0
"160",1663,8,5.5373797416687,2,1920,0
"161",1671,17,5.81205034255981,2,1920,0
"162",1672,17,6.0228066444397,3,1920,0
"163",1688,16,5.7516074180603,1,1920,1
"164",1692,10,4.92888641357422,3,1920,0
"165",1715,16,5.86904764175415,1,1920,1
"166",1716,6,3.74116492271423,3,1920,0
"167",1717,6,4.62778615951538,1,1920,1
"168",1725,3,5.12180233001709,1,1920,1
"169",1743,12,5.3031587600708,3,1920,0
"170",1747,7,5.06153964996338,3,1920,0
"171",1751,16,5.54467964172363,1,1920,1
"172",1770,8,5.28345251083374,1,1920,1
"173",1798,12,5.1675271987915,2,1920,0
"174",1804,10,5.36420440673828,1,1920,1
"175",1806,14,5.37831497192383,2,1920,0
"176",1821,10,5.37831497192383,4,1920,0
"177",1828,11,5.26335048675537,3,1920,0
"178",1830,9,5.06153964996338,3,1920,0
"179",1873,9,6.0749626159668,3,1920,0
"180",1881,7,4.92888641357422,2,1920,0
"181",1882,10,5.45661926269531,3,1920,0
"182",1886,14,5.95905780792236,2,1920,0
"183",1896,7,5.47388553619385,4,1920,0
"184",1899,3,4.63406229019165,3,1920,0
"185",1923,12,5.33371448516846,1,1920,1
"186",1926,14,5.68727445602417,1,1920,1
"187",1930,13,5.28345251083374,4,1920,0
"188",1951,12,5.86904764175415,3,1920,0
"189",1960,11,5.68727445602417,3,1920,0
"190",1981,12,5.37831497192383,3,1920,0
"191",1999,18,5.49761009216309,2,1920,0
"192",2000,6,5.43251657485962,4,1920,0
"193",2001,11,5.26335048675537,2,1920,0
"194",2010,8,5.28345251083374,3,1920,0
"195",2011,8,5.18962907791138,3,1920,0
"196",2030,12,5.28345251083374,1,1920,1
"197",2034,16,4.07089138031006,1,1920,1
"198",2048,12,5.46495294570923,2,1920,0
"199",2054,12,5.46495294570923,3,1920,0
"200",2062,4,5.36922359466553,1,1920,1
"201",2077,12,5.33200788497925,1,1920,1
"202",2078,9,4.59521865844727,2,1920,0
"203",2087,16,6.53269100189209,1,1920,1
"204",2088,12,5.04903888702393,3,1920,0
"205",2093,11,4.85531854629517,4,1920,0
"206",2103,9,5.22189140319824,1,1920,1
"207",2135,16,5.86904764175415,4,1920,0
"208",2139,9,5.09813117980957,1,1920,1
"209",2145,12,4.7759051322937,1,1920,1
"210",2149,12,4.99741077423096,4,1920,0
"211",2162,16,6.20076751708984,2,1920,0
"212",2167,12,5.17863893508911,3,1920,0
"213",2176,10,4.80984115600586,3,1920,0
"214",2177,14,5.97413396835327,1,1920,1
"215",2178,14,6.37877559661865,4,1920,0
"216",2209,12,4.59521865844727,4,1920,0
"217",2267,8,4.7759051322937,3,1920,0
"218",2287,6,4.53358793258667,3,1920,0
"219",2297,16,5.68727445602417,2,1920,0
"220",2306,14,4.59521865844727,1,1920,1
"221",2309,12,5.76399183273315,4,1920,0
"222",2311,10,5.22060441970825,3,1920,0
"223",2312,6,4.53358793258667,3,1920,0
"224",2315,12,5.1675271987915,1,1920,1
"225",2320,7,4.99741077423096,2,1920,0
"226",2326,12,4.75428342819214,3,1920,0
"227",2334,16,6.53269100189209,4,1920,0
"228",2341,7,4.3745231628418,4,1920,0
"229",2351,6,5.03637933731079,4,1920,0
"230",2368,8,4.72504234313965,1,1920,1
"231",2377,7,5.17863893508911,4,1920,0
"232",2386,9,4.80843114852905,2,1920,0
"233",2394,8,5.06153964996338,4,1920,0
"234",2445,12,5.17863893508911,1,1920,1
"235",2447,12,4.83993244171143,4,1920,0
"236",2489,12,5.28345251083374,4,1920,0
"237",2499,9,5.17882966995239,2,1920,0
"238",2526,9,4.63406229019165,2,1920,0
"239",2533,10,5.06153964996338,2,1920,0
"240",2543,12,5.06153964996338,1,1920,1
"241",2550,12,4.92888641357422,2,1920,0
"242",2572,7,4.70749664306641,3,1920,0
"243",2574,12,5.28345251083374,1,1920,1
"244",2582,8,5.13343095779419,3,1920,0
"245",2588,12,5.7516074180603,3,1920,0
"246",2593,12,5.28345251083374,1,1920,1
"247",2620,3,3.97057771682739,4,1920,0
"248",2622,17,5.17863893508911,4,1920,0
"249",2624,14,5.06153964996338,1,1920,1
"250",2638,12,6.37877559661865,2,1920,0
"251",2642,12,5.06153964996338,1,1920,1
"252",2656,12,4.94297218322754,4,1920,0
"253",2662,10,5.3106164932251,2,1920,0
"254",2672,6,4.92888641357422,1,1920,1
"255",2674,12,5.15629053115845,4,1920,0
"256",2685,12,4.85531854629517,4,1920,0
"257",2688,16,4.27051973342896,2,1920,0
"258",2691,13,5.28345251083374,3,1920,0
"259",2696,10,3.11525678634644,3,1920,0
"260",2703,12,5.50561046600342,2,1920,0
"261",2714,3,4.09090709686279,2,1920,0
"262",2723,8,5.44588804244995,4,1920,0
"263",2728,8,5.37831497192383,1,1920,1
"264",2735,10,4.92888641357422,4,1920,0
"265",2783,12,4.99741077423096,1,1920,1
"266",2785,12,6.37877559661865,1,1920,1
"267",2790,12,5.82264232635498,2,1920,0
"268",2810,12,4.85531854629517,1,1920,1
"269",2816,7,5.17863893508911,4,1920,0
"270",2854,3,4.85531854629517,1,1920,1
"271",2874,8,5.41387557983398,4,1920,0
"272",2880,9,5.20049905776978,1,1920,1
"273",2881,12,4.59521865844727,4,1920,0
"274",2885,8,5.08608245849609,2,1920,0
"275",2887,12,5.06153964996338,2,1920,0
"276",2897,12,5.20049905776978,4,1920,0
"277",2916,10,5.06153964996338,2,1920,0
"278",2923,7,5.68727445602417,2,1920,0
"279",2925,12,4.90010547637939,3,1920,0
"280",2940,8,5.09813117980957,3,1920,0
"281",2956,18,5.46495294570923,4,1920,0
"282",2957,13,4.59521865844727,4,1920,0
"283",2965,9,4.59521865844727,1,1920,1
"284",2970,8,5.44251728057861,1,1920,1
"285",2984,11,4.92888641357422,2,1920,0
"286",2989,10,5.23989057540894,1,1920,1
"287",2995,15,5.37831497192383,2,1920,0
"288",3012,12,5.11003684997559,1,1920,1
"289",3036,7,4.59521865844727,3,1920,0
"290",3058,12,5.54467964172363,4,1920,0
"291",3059,12,5.33568716049194,1,1920,1
"292",3070,8,5.23295068740845,1,1920,1
"293",3076,11,5.15629053115845,3,1920,0
"294",3084,12,5.50561046600342,2,1920,0
"295",3093,12,4.68963766098022,1,1920,1
"296",3104,9,4.3238730430603,1,1920,1
"297",3107,16,4.92888641357422,1,1920,1
"298",3108,12,4.99741077423096,1,1920,1
"299",3113,10,5.46495294570923,4,1920,0
"300",3117,9,5.04903888702393,3,1920,0
"301",3120,10,3.96033692359924,1,1920,1
"302",3122,4,3.50621294975281,1,1920,1
"303",3146,12,4.7923002243042,1,1920,1
"304",3148,11,5.55988931655884,2,1920,0
"305",3164,13,5.06153964996338,1,1920,1
"306",3184,8,4.24273633956909,3,1920,0
"307",3194,6,3.69352555274963,2,1920,0
"308",3196,13,4.7759051322937,3,1920,0
"309",3197,11,2.86077117919922,1,1920,1
"310",3222,11,4.91830158233643,4,1920,0
"311",3226,11,6.88795280456543,3,1920,0
"312",3227,11,4.92888641357422,3,1920,0
"313",3228,11,5.17882966995239,4,1920,0
"314",3231,11,5.03637933731079,1,1920,1
"315",3245,9,4.7759051322937,3,1920,0
"316",3249,11,4.85531854629517,4,1920,0
"317",3253,5,4.09090709686279,2,1920,0
"318",3267,6,4.7759051322937,3,1920,0
"319",3271,12,4.63406229019165,2,1920,0
"320",3303,0,3.91182684898376,2,1920,0
"321",3315,11,5.02355813980103,2,1920,0
"322",3369,12,3.11525678634644,3,1920,0
"323",3374,7,4.27051973342896,2,1920,0
"324",3380,6,4.09090709686279,2,1920,0
"325",3394,12,5.28345251083374,1,1920,1
"326",3421,12,5.52142190933228,4,1920,0
"327",3422,14,5.12180233001709,3,1920,0
"328",3447,0,3.98470139503479,3,1920,0
"329",3459,5,2.70344185829163,2,1920,0
"330",3468,11,4.55480527877808,3,1920,0
"331",3470,15,4.92888641357422,4,1920,0
"332",3475,0,3.78663754463196,2,1920,0
"333",3477,4,3.95030069351196,1,1920,1
"334",3492,7,4.88539791107178,2,1920,0
"335",3507,15,5.06153964996338,4,1920,0
"336",3513,7,4.75428342819214,3,1920,0
"337",3525,3,4.60440063476562,4,1920,0
"338",3526,2,4.29755210876465,2,1920,0
"339",3536,6,5.06153964996338,4,1920,0
"340",3553,11,4.95686197280884,2,1920,0
"341",3571,16,5.68727445602417,4,1920,0
"342",3573,13,4.92888641357422,4,1920,0
"343",3580,16,4.99741077423096,3,1920,0
"344",3585,9,4.92888641357422,4,1920,0
"345",3592,16,5.17863893508911,3,1920,0
"346",3596,5,5.06153964996338,2,1920,0
"347",3600,7,4.53396892547607,2,1920,0
"348",3601,6,4.09090709686279,2,1920,0
"349",3634,11,5.12180233001709,1,1920,1
"350",3639,11,4.59521865844727,1,1920,1
"351",3641,13,6.30274486541748,3,1920,0
"352",3642,17,5.78228569030762,2,1920,0
"353",3646,2,4.59521865844727,3,1920,0
"354",3672,12,5.37274551391602,3,1920,0
"355",3688,3,4.7759051322937,1,1920,1
"356",3724,12,5.08608245849609,4,1920,0
"357",3728,9,4.59521865844727,1,1920,1
"358",3735,4,4.7759051322937,3,1920,0
"359",3736,7,4.70749664306641,3,1920,0
"360",3749,4,4.7759051322937,4,1920,0
"361",3753,10,4.59521865844727,3,1920,0
"362",3758,12,5.02700042724609,3,1920,0
"363",3761,9,5.1118016242981,2,1920,0
"364",3785,14,5.06153964996338,3,1920,0
"365",3800,12,4.7759051322937,4,1920,0
"366",3812,8,4.91459941864014,4,1920,0
"367",3815,8,4.55480527877808,2,1920,0
"368",3819,8,3.34714841842651,4,1920,0
"369",3821,14,5.06153964996338,3,1920,0
"370",3823,12,5.21122312545776,4,1920,0
"371",3827,11,4.3745231628418,3,1920,0
"372",3835,5,4.82616710662842,4,1920,0
"373",3848,8,5.61851644515991,3,1920,0
"374",3849,12,4.53358793258667,2,1920,0
"375",3868,11,5.03637933731079,1,1920,1
"376",3869,12,4.3745231628418,3,1920,0
"377",3872,7,4.42273092269897,3,1920,0
"378",3875,10,5.25869655609131,2,1920,0
"379",3889,12,4.7759051322937,1,1920,1
"380",3901,10,4.62961864471436,1,1920,1
"381",3909,12,4.92888641357422,1,1920,1
"382",3926,10,5.21122312545776,2,1920,0
"383",3932,12,5.03637933731079,2,1920,0
"384",3937,14,5.06153964996338,3,1920,0
"385",3945,5,4.64548063278198,4,1920,0
"386",4014,11,5.27345180511475,4,1920,0
"387",4029,11,4.92888641357422,1,1920,1
"388",4091,6,4.98407649993896,1,1920,1
"389",4107,16,5.89637231826782,3,1920,0
"390",4142,6,4.67175388336182,1,1920,1
"391",4147,13,4.49094676971436,1,1920,1
"392",4172,12,4.95686197280884,4,1920,0
"393",4175,9,3.07450532913208,4,1920,0
"394",4193,6,4.3238730430603,1,1920,1
"395",4204,5,4.7759051322937,4,1920,0
"396",4219,9,4.85531854629517,4,1920,0
"397",4234,12,5.17863893508911,1,1920,1
"398",4236,10,5.17863893508911,2,1920,0
"399",4237,14,4.99741077423096,4,1920,0
"400",4266,5,3.96033692359924,1,1920,1
"401",4267,9,4.85531854629517,2,1920,0
"402",4271,14,5.7516074180603,3,1920,0
"403",4294,12,5.46495294570923,3,1920,0
"404",4309,11,5.97413396835327,2,1920,0
"405",4315,15,5.47321748733521,2,1920,0
"406",4319,10,4.12317323684692,2,1920,0
"407",4326,6,4.7759051322937,3,1920,0
"408",4336,0,2.04022073745728,2,1920,0
"409",4339,9,4.34781408309937,4,1920,0
"410",4373,7,4.59521865844727,2,1920,0
"411",4386,5,3.95030069351196,3,1920,0
"412",4389,10,4.91459941864014,4,1920,0
"413",4397,11,5.22890090942383,2,1920,0
"414",4401,6,5.22060441970825,1,1920,1
"415",4407,8,5.4895453453064,1,1920,1
"416",4442,9,4.42273092269897,1,1920,1
"417",4462,17,5.37831497192383,4,1920,0
"418",4467,12,4.59521865844727,2,1920,0
