"","treat","school","interval","village","post","post_treat","time_to_event","village_shock","absences_total"
"1",0,1,1,1,0,0,0,31,77
"2",0,1,2,1,0,0,0,31,108
"3",0,1,3,1,0,0,0,31,129
"4",0,1,4,1,0,0,0,31,87
"5",0,1,5,1,0,0,0,31,94
"6",0,1,6,1,0,0,0,31,99
"7",0,1,7,1,0,0,0,31,99
"8",0,1,8,1,1,0,0,31,105
"9",0,1,9,1,1,0,0,31,88
"10",0,1,10,1,1,0,0,31,97
"11",0,1,11,1,1,0,0,31,84
"12",0,1,12,1,1,0,0,31,68
"13",0,1,13,1,1,0,0,31,102
"14",0,1,14,1,1,0,0,31,112
"15",0,1,15,1,1,0,0,31,109
"16",0,1,16,1,1,0,0,31,124
"17",0,2,1,1,0,0,0,31,117
"18",0,2,2,1,0,0,0,31,108
"19",0,2,3,1,0,0,0,31,134
"20",0,2,4,1,0,0,0,31,78
"21",0,2,5,1,0,0,0,31,120
"22",0,2,6,1,0,0,0,31,92
"23",0,2,7,1,0,0,0,31,105
"24",0,2,8,1,1,0,0,31,78
"25",0,2,9,1,1,0,0,31,103
"26",0,2,10,1,1,0,0,31,103
"27",0,2,11,1,1,0,0,31,94
"28",0,2,12,1,1,0,0,31,80
"29",0,2,13,1,1,0,0,31,69
"30",0,2,14,1,1,0,0,31,132
"31",0,2,15,1,1,0,0,31,95
"32",0,2,16,1,1,0,0,31,97
"33",0,3,1,1,0,0,0,31,121
"34",0,3,2,1,0,0,0,31,101
"35",0,3,3,1,0,0,0,31,55
"36",0,3,4,1,0,0,0,31,131
"37",0,3,5,1,0,0,0,31,117
"38",0,3,6,1,0,0,0,31,127
"39",0,3,7,1,0,0,0,31,65
"40",0,3,8,1,1,0,0,31,136
"41",0,3,9,1,1,0,0,31,113
"42",0,3,10,1,1,0,0,31,73
"43",0,3,11,1,1,0,0,31,134
"44",0,3,12,1,1,0,0,31,71
"45",0,3,13,1,1,0,0,31,103
"46",0,3,14,1,1,0,0,31,123
"47",0,3,15,1,1,0,0,31,118
"48",0,3,16,1,1,0,0,31,105
"49",0,4,1,1,0,0,0,31,111
"50",0,4,2,1,0,0,0,31,88
"51",0,4,3,1,0,0,0,31,96
"52",0,4,4,1,0,0,0,31,110
"53",0,4,5,1,0,0,0,31,95
"54",0,4,6,1,0,0,0,31,132
"55",0,4,7,1,0,0,0,31,104
"56",0,4,8,1,1,0,0,31,110
"57",0,4,9,1,1,0,0,31,87
"58",0,4,10,1,1,0,0,31,101
"59",0,4,11,1,1,0,0,31,155
"60",0,4,12,1,1,0,0,31,83
"61",0,4,13,1,1,0,0,31,104
"62",0,4,14,1,1,0,0,31,98
"63",0,4,15,1,1,0,0,31,115
"64",0,4,16,1,1,0,0,31,82
"65",0,5,1,1,0,0,0,31,129
"66",0,5,2,1,0,0,0,31,104
"67",0,5,3,1,0,0,0,31,87
"68",0,5,4,1,0,0,0,31,64
"69",0,5,5,1,0,0,0,31,104
"70",0,5,6,1,0,0,0,31,111
"71",0,5,7,1,0,0,0,31,110
"72",0,5,8,1,1,0,0,31,111
"73",0,5,9,1,1,0,0,31,142
"74",0,5,10,1,1,0,0,31,120
"75",0,5,11,1,1,0,0,31,114
"76",0,5,12,1,1,0,0,31,88
"77",0,5,13,1,1,0,0,31,114
"78",0,5,14,1,1,0,0,31,142
"79",0,5,15,1,1,0,0,31,95
"80",0,5,16,1,1,0,0,31,97
"81",0,6,1,1,0,0,0,31,124
"82",0,6,2,1,0,0,0,31,91
"83",0,6,3,1,0,0,0,31,127
"84",0,6,4,1,0,0,0,31,117
"85",0,6,5,1,0,0,0,31,128
"86",0,6,6,1,0,0,0,31,87
"87",0,6,7,1,0,0,0,31,140
"88",0,6,8,1,1,0,0,31,120
"89",0,6,9,1,1,0,0,31,90
"90",0,6,10,1,1,0,0,31,127
"91",0,6,11,1,1,0,0,31,106
"92",0,6,12,1,1,0,0,31,93
"93",0,6,13,1,1,0,0,31,108
"94",0,6,14,1,1,0,0,31,114
"95",0,6,15,1,1,0,0,31,53
"96",0,6,16,1,1,0,0,31,133
"97",0,7,1,1,0,0,0,31,104
"98",0,7,2,1,0,0,0,31,96
"99",0,7,3,1,0,0,0,31,75
"100",0,7,4,1,0,0,0,31,123
"101",0,7,5,1,0,0,0,31,66
"102",0,7,6,1,0,0,0,31,80
"103",0,7,7,1,0,0,0,31,70
"104",0,7,8,1,1,0,0,31,147
"105",0,7,9,1,1,0,0,31,105
"106",0,7,10,1,1,0,0,31,124
"107",0,7,11,1,1,0,0,31,141
"108",0,7,12,1,1,0,0,31,103
"109",0,7,13,1,1,0,0,31,85
"110",0,7,14,1,1,0,0,31,97
"111",0,7,15,1,1,0,0,31,90
"112",0,7,16,1,1,0,0,31,96
"113",0,8,1,1,0,0,0,31,90
"114",0,8,2,1,0,0,0,31,129
"115",0,8,3,1,0,0,0,31,114
"116",0,8,4,1,0,0,0,31,144
"117",0,8,5,1,0,0,0,31,134
"118",0,8,6,1,0,0,0,31,78
"119",0,8,7,1,0,0,0,31,117
"120",0,8,8,1,1,0,0,31,119
"121",0,8,9,1,1,0,0,31,118
"122",0,8,10,1,1,0,0,31,125
"123",0,8,11,1,1,0,0,31,97
"124",0,8,12,1,1,0,0,31,92
"125",0,8,13,1,1,0,0,31,96
"126",0,8,14,1,1,0,0,31,53
"127",0,8,15,1,1,0,0,31,85
"128",0,8,16,1,1,0,0,31,79
"129",0,9,1,1,0,0,0,31,112
"130",0,9,2,1,0,0,0,31,116
"131",0,9,3,1,0,0,0,31,57
"132",0,9,4,1,0,0,0,31,116
"133",0,9,5,1,0,0,0,31,95
"134",0,9,6,1,0,0,0,31,135
"135",0,9,7,1,0,0,0,31,92
"136",0,9,8,1,1,0,0,31,111
"137",0,9,9,1,1,0,0,31,80
"138",0,9,10,1,1,0,0,31,82
"139",0,9,11,1,1,0,0,31,112
"140",0,9,12,1,1,0,0,31,120
"141",0,9,13,1,1,0,0,31,84
"142",0,9,14,1,1,0,0,31,110
"143",0,9,15,1,1,0,0,31,138
"144",0,9,16,1,1,0,0,31,99
"145",0,10,1,1,0,0,0,31,118
"146",0,10,2,1,0,0,0,31,161
"147",0,10,3,1,0,0,0,31,107
"148",0,10,4,1,0,0,0,31,111
"149",0,10,5,1,0,0,0,31,108
"150",0,10,6,1,0,0,0,31,115
"151",0,10,7,1,0,0,0,31,110
"152",0,10,8,1,1,0,0,31,87
"153",0,10,9,1,1,0,0,31,121
"154",0,10,10,1,1,0,0,31,130
"155",0,10,11,1,1,0,0,31,118
"156",0,10,12,1,1,0,0,31,77
"157",0,10,13,1,1,0,0,31,79
"158",0,10,14,1,1,0,0,31,80
"159",0,10,15,1,1,0,0,31,134
"160",0,10,16,1,1,0,0,31,99
"161",0,11,1,2,0,0,0,23,103
"162",0,11,2,2,0,0,0,23,92
"163",0,11,3,2,0,0,0,23,103
"164",0,11,4,2,0,0,0,23,92
"165",0,11,5,2,0,0,0,23,68
"166",0,11,6,2,0,0,0,23,117
"167",0,11,7,2,0,0,0,23,93
"168",0,11,8,2,1,0,0,23,109
"169",0,11,9,2,1,0,0,23,105
"170",0,11,10,2,1,0,0,23,110
"171",0,11,11,2,1,0,0,23,90
"172",0,11,12,2,1,0,0,23,111
"173",0,11,13,2,1,0,0,23,125
"174",0,11,14,2,1,0,0,23,106
"175",0,11,15,2,1,0,0,23,68
"176",0,11,16,2,1,0,0,23,113
"177",0,12,1,2,0,0,0,23,144
"178",0,12,2,2,0,0,0,23,98
"179",0,12,3,2,0,0,0,23,113
"180",0,12,4,2,0,0,0,23,81
"181",0,12,5,2,0,0,0,23,50
"182",0,12,6,2,0,0,0,23,108
"183",0,12,7,2,0,0,0,23,71
"184",0,12,8,2,1,0,0,23,126
"185",0,12,9,2,1,0,0,23,107
"186",0,12,10,2,1,0,0,23,96
"187",0,12,11,2,1,0,0,23,76
"188",0,12,12,2,1,0,0,23,79
"189",0,12,13,2,1,0,0,23,78
"190",0,12,14,2,1,0,0,23,92
"191",0,12,15,2,1,0,0,23,106
"192",0,12,16,2,1,0,0,23,66
"193",0,13,1,2,0,0,0,23,106
"194",0,13,2,2,0,0,0,23,95
"195",0,13,3,2,0,0,0,23,84
"196",0,13,4,2,0,0,0,23,65
"197",0,13,5,2,0,0,0,23,98
"198",0,13,6,2,0,0,0,23,53
"199",0,13,7,2,0,0,0,23,68
"200",0,13,8,2,1,0,0,23,92
"201",0,13,9,2,1,0,0,23,97
"202",0,13,10,2,1,0,0,23,129
"203",0,13,11,2,1,0,0,23,99
"204",0,13,12,2,1,0,0,23,94
"205",0,13,13,2,1,0,0,23,114
"206",0,13,14,2,1,0,0,23,89
"207",0,13,15,2,1,0,0,23,112
"208",0,13,16,2,1,0,0,23,88
"209",0,14,1,2,0,0,0,23,68
"210",0,14,2,2,0,0,0,23,182
"211",0,14,3,2,0,0,0,23,98
"212",0,14,4,2,0,0,0,23,119
"213",0,14,5,2,0,0,0,23,90
"214",0,14,6,2,0,0,0,23,107
"215",0,14,7,2,0,0,0,23,108
"216",0,14,8,2,1,0,0,23,95
"217",0,14,9,2,1,0,0,23,71
"218",0,14,10,2,1,0,0,23,99
"219",0,14,11,2,1,0,0,23,117
"220",0,14,12,2,1,0,0,23,124
"221",0,14,13,2,1,0,0,23,131
"222",0,14,14,2,1,0,0,23,93
"223",0,14,15,2,1,0,0,23,87
"224",0,14,16,2,1,0,0,23,117
"225",0,15,1,2,0,0,0,23,85
"226",0,15,2,2,0,0,0,23,75
"227",0,15,3,2,0,0,0,23,88
"228",0,15,4,2,0,0,0,23,109
"229",0,15,5,2,0,0,0,23,82
"230",0,15,6,2,0,0,0,23,60
"231",0,15,7,2,0,0,0,23,62
"232",0,15,8,2,1,0,0,23,90
"233",0,15,9,2,1,0,0,23,103
"234",0,15,10,2,1,0,0,23,77
"235",0,15,11,2,1,0,0,23,102
"236",0,15,12,2,1,0,0,23,87
"237",0,15,13,2,1,0,0,23,104
"238",0,15,14,2,1,0,0,23,78
"239",0,15,15,2,1,0,0,23,80
"240",0,15,16,2,1,0,0,23,88
"241",0,16,1,2,0,0,0,23,78
"242",0,16,2,2,0,0,0,23,63
"243",0,16,3,2,0,0,0,23,78
"244",0,16,4,2,0,0,0,23,74
"245",0,16,5,2,0,0,0,23,121
"246",0,16,6,2,0,0,0,23,141
"247",0,16,7,2,0,0,0,23,109
"248",0,16,8,2,1,0,0,23,74
"249",0,16,9,2,1,0,0,23,73
"250",0,16,10,2,1,0,0,23,69
"251",0,16,11,2,1,0,0,23,119
"252",0,16,12,2,1,0,0,23,107
"253",0,16,13,2,1,0,0,23,63
"254",0,16,14,2,1,0,0,23,73
"255",0,16,15,2,1,0,0,23,122
"256",0,16,16,2,1,0,0,23,58
"257",0,17,1,2,0,0,0,23,108
"258",0,17,2,2,0,0,0,23,94
"259",0,17,3,2,0,0,0,23,96
"260",0,17,4,2,0,0,0,23,94
"261",0,17,5,2,0,0,0,23,99
"262",0,17,6,2,0,0,0,23,96
"263",0,17,7,2,0,0,0,23,102
"264",0,17,8,2,1,0,0,23,110
"265",0,17,9,2,1,0,0,23,130
"266",0,17,10,2,1,0,0,23,84
"267",0,17,11,2,1,0,0,23,102
"268",0,17,12,2,1,0,0,23,108
"269",0,17,13,2,1,0,0,23,96
"270",0,17,14,2,1,0,0,23,100
"271",0,17,15,2,1,0,0,23,84
"272",0,17,16,2,1,0,0,23,84
"273",0,18,1,2,0,0,0,23,99
"274",0,18,2,2,0,0,0,23,84
"275",0,18,3,2,0,0,0,23,113
"276",0,18,4,2,0,0,0,23,91
"277",0,18,5,2,0,0,0,23,74
"278",0,18,6,2,0,0,0,23,100
"279",0,18,7,2,0,0,0,23,108
"280",0,18,8,2,1,0,0,23,95
"281",0,18,9,2,1,0,0,23,122
"282",0,18,10,2,1,0,0,23,83
"283",0,18,11,2,1,0,0,23,122
"284",0,18,12,2,1,0,0,23,104
"285",0,18,13,2,1,0,0,23,84
"286",0,18,14,2,1,0,0,23,112
"287",0,18,15,2,1,0,0,23,108
"288",0,18,16,2,1,0,0,23,97
"289",0,19,1,2,0,0,0,23,96
"290",0,19,2,2,0,0,0,23,106
"291",0,19,3,2,0,0,0,23,100
"292",0,19,4,2,0,0,0,23,108
"293",0,19,5,2,0,0,0,23,116
"294",0,19,6,2,0,0,0,23,124
"295",0,19,7,2,0,0,0,23,90
"296",0,19,8,2,1,0,0,23,103
"297",0,19,9,2,1,0,0,23,96
"298",0,19,10,2,1,0,0,23,89
"299",0,19,11,2,1,0,0,23,105
"300",0,19,12,2,1,0,0,23,132
"301",0,19,13,2,1,0,0,23,98
"302",0,19,14,2,1,0,0,23,71
"303",0,19,15,2,1,0,0,23,86
"304",0,19,16,2,1,0,0,23,110
"305",0,20,1,2,0,0,0,23,137
"306",0,20,2,2,0,0,0,23,98
"307",0,20,3,2,0,0,0,23,109
"308",0,20,4,2,0,0,0,23,128
"309",0,20,5,2,0,0,0,23,105
"310",0,20,6,2,0,0,0,23,79
"311",0,20,7,2,0,0,0,23,124
"312",0,20,8,2,1,0,0,23,87
"313",0,20,9,2,1,0,0,23,135
"314",0,20,10,2,1,0,0,23,111
"315",0,20,11,2,1,0,0,23,112
"316",0,20,12,2,1,0,0,23,104
"317",0,20,13,2,1,0,0,23,73
"318",0,20,14,2,1,0,0,23,80
"319",0,20,15,2,1,0,0,23,84
"320",0,20,16,2,1,0,0,23,84
"321",0,21,1,3,0,0,0,20,110
"322",0,21,2,3,0,0,0,20,89
"323",0,21,3,3,0,0,0,20,98
"324",0,21,4,3,0,0,0,20,105
"325",0,21,5,3,0,0,0,20,114
"326",0,21,6,3,0,0,0,20,85
"327",0,21,7,3,0,0,0,20,124
"328",0,21,8,3,1,0,0,20,70
"329",0,21,9,3,1,0,0,20,86
"330",0,21,10,3,1,0,0,20,64
"331",0,21,11,3,1,0,0,20,71
"332",0,21,12,3,1,0,0,20,95
"333",0,21,13,3,1,0,0,20,89
"334",0,21,14,3,1,0,0,20,79
"335",0,21,15,3,1,0,0,20,75
"336",0,21,16,3,1,0,0,20,69
"337",0,22,1,3,0,0,0,20,110
"338",0,22,2,3,0,0,0,20,103
